gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
5S_rRNA,0,0,0,0,0
5_8S_rRNA,1.077208614,4.970876646,0,0.886930261,4.773326763
A1CF,2179.193025,1836.738921,195.9746404,429.2742462,350.3621844
A2M,26565.04162,13074.6483,36071.80494,32349.89433,55247.43862
A2ML1,25.85300673,38.52429401,18.70667022,12.41702365,12.41064958
A3GALT2,0,0,4.453969099,1.773860522,0.954665353
A4GALT,1261.411286,1170.64145,1549.981246,1967.211318,1811.954839
A4GNT,0,0,0,0,0
AAAS,1091.212326,1248.932757,897.0293765,1183.164968,1312.66486
AACS,1013.653305,940.7384053,1696.962227,2007.12318,1957.063973
AADAC,14068.34449,13930.8818,21873.44224,18812.67776,13772.00238
AADACL2,0,0,0,0,0
AADACL3,0,0,0,0,0
AADACL4,0,0,0.89079382,0,0
AADAT,16901.40315,13954.49347,6462.709163,11185.07752,16199.71637
AAGAB,5306.32963,5219.420479,6991.840691,6253.745269,5436.819183
AAK1,5382.811442,5670.527534,5579.932487,5786.333021,4333.226035
AAMP,8581.043816,9534.141408,8399.294927,7316.287721,6738.028059
AANAT,1.077208614,0,0,2.660790782,0.954665353
AAR2,4689.089095,5357.362306,4075.381726,4220.014181,3564.720427
AARD,4.308834454,1.242719162,19.59746404,31.92948939,26.73062987
AARS1,11794.35711,11319.92884,12112.12357,11390.84534,9769.090553
AARS2,919.936156,907.184988,829.3290462,891.3649121,863.9721441
AASDH,1613.658503,1509.903781,1426.160905,1500.686001,1431.043364
AASDHPPT,3442.758729,3433.633043,4013.026158,3470.55811,3758.517493
AASS,10057.89682,9302.995644,5841.82587,7362.408095,6065.94365
AATF,2665.01411,2866.953106,3368.982226,2423.980403,2052.530508
AATK,0,1.242719162,0,1.773860522,0.954665353
ABAT,58729.41361,56726.40157,17191.42993,18786.06985,16938.62735
ABCA1,4613.684492,3830.060456,5677.029013,5372.13659,5095.048987
ABCA12,2.154417227,2.485438323,3.563175279,7.095442086,18.1386417
ABCA3,266.0705275,252.2719898,376.8057858,476.28155,447.7380504
ABCA4,155.1180404,162.7962102,224.4800426,191.5769363,153.7011218
ABCA5,2603.613219,2568.700507,1945.493702,2577.419338,2429.623322
ABCA6,1946.515965,1373.204674,379.4781672,1976.080621,2282.604858
ABCA7,0,0,0.89079382,0.886930261,0.954665353
ABCA8,1421.91537,1255.146353,111.3492275,240.3581007,240.5756689
ABCA9,1676.136603,1087.379266,492.6089823,1545.919445,1610.52045
ABCB10,4955.159622,6023.459776,3307.517453,3368.56113,2897.409345
ABCB11,107.7208614,91.96121796,11.58031966,21.28632626,15.27464564
ABCB5,4.308834454,6.213595808,5.344762919,1.773860522,1.909330705
ABCB6,1538.2539,1714.952443,1714.778103,2360.121424,1873.053422
ABCB7,4459.64366,4872.701833,3476.768279,4383.209349,3658.277631
ABCB8,356.5560511,334.2914545,409.7651571,404.4401989,421.9620858
ABCB9,114.184113,131.7282311,107.7860522,154.3258654,169.9304328
ABCC1,973.7965867,899.728673,1483.17171,1682.506705,1374.718108
ABCC10,828.3734238,927.0684945,461.4311986,397.3447568,343.6795269
ABCC11,2.154417227,0,3.563175279,2.660790782,4.773326763
ABCC12,0,0,0,0,0
ABCC2,14347.34152,11990.99719,20869.51761,18325.75305,9654.530711
ABCC3,422.2657765,359.1458377,2383.764262,1751.687265,2536.545842
ABCC5,5031.641434,5320.080731,2460.37253,2873.654045,2882.134699
ABCC8,8.617668908,12.42719162,5.344762919,12.41702365,7.637322821
ABCC9,77.55902018,62.13595808,121.1479595,306.8778702,332.2235427
ABCD1,706.6488505,749.3596544,670.7677463,744.1344888,651.0817705
ABCD2,1.077208614,2.485438323,3.563175279,4.434651304,4.773326763
ABCD3,12116.44249,12411.03627,7017.673712,8039.135884,6488.860402
ABCD4,2816.900524,2968.856077,2096.037858,2630.635153,2644.423027
ABCE1,6192.872319,5962.566537,11591.00918,8186.366307,7741.381344
ABCF1,3882.259843,3863.613873,5966.537005,4913.593645,4896.478593
ABCF3,4692.320721,5023.070851,5460.566115,4798.292711,4290.266095
ABCG1,785.2850793,720.7771137,588.8147149,611.0949497,568.0258848
ABCG2,356.5560511,367.8448718,821.3119018,886.9302608,795.2362387
ABCG4,604.3140322,640.0003682,872.0871496,774.2901177,867.7908055
ABCG5,1.077208614,1.242719162,0.89079382,0,2.863996058
ABCG8,0,0,0,0,0
ABHD1,240.2175208,272.1554964,177.2679701,248.340473,166.1117713
ABHD10,1268.951747,1312.311435,814.1855513,893.1387726,955.6200179
ABHD11,5633.801049,6803.88741,4419.22814,5994.761633,5396.723238
ABHD12,4383.161849,5173.43987,4160.897932,5038.650811,4748.505464
ABHD12B,0,0,0,0,0
ABHD13,2223.358578,2142.447835,2357.931241,2119.763323,1855.869445
ABHD14A,118496.1791,143715.5002,44752.59071,61087.32171,49263.59619
ABHD15,1262.488495,1466.408611,456.0864357,492.2462947,426.7354126
ABHD16A,4456.412034,5133.672857,4119.921416,4001.829337,3450.160584
ABHD16B,0,1.242719162,0,0,0
ABHD17A,2926.775803,3267.108676,2867.465306,2773.430925,2931.777298
ABHD17B,2231.976247,2228.195457,2642.985263,2367.216866,2121.266413
ABHD17C,6384.615453,6331.654128,2462.154118,3060.79633,2779.030841
ABHD18,1368.054939,1540.97176,646.7163132,782.27249,619.5778138
ABHD2,532.1410551,449.8643365,1920.551475,1193.808131,1191.42236
ABHD3,4683.703052,5198.294253,3151.628534,3051.927027,2238.690252
ABHD4,1206.473647,1216.622059,1692.508258,1578.735864,1841.549465
ABHD5,1377.749817,1288.699771,2724.047501,2092.268485,1512.189918
ABHD6,1622.276172,1486.292117,1784.260021,2526.864313,1812.909505
ABHD8,481.5122503,454.8352131,397.2940436,564.9745761,507.8819676
